"Ix","Iz"
9.595e-06,-2.041e-07
9.725e-06,-2.041e-07
9.865e-06,-2.041e-07
1e-05,-2.041e-07
1.014e-05,-2.041e-07
1.028e-05,-2.041e-07
1.0425e-05,-2.041e-07
1.057e-05,-2.041e-07
1.0715e-05,-2.041e-07
1.0865e-05,-2.041e-07
1.1015e-05,-2.041e-07
1.117e-05,-2.041e-07
1.1325e-05,-2.041e-07
1.1485e-05,-2.041e-07
1.1645e-05,-2.041e-07
1.1805e-05,-2.041e-07
1.197e-05,-2.041e-07
1.2135e-05,-2.041e-07
1.2305e-05,-2.041e-07
1.2475e-05,-2.041e-07
1.265e-05,-2.041e-07
1.2825e-05,-2.041e-07
1.3005e-05,-2.041e-07
1.3185e-05,-2.041e-07
1.337e-05,-2.041e-07
1.3555e-05,-2.041e-07
1.3745e-05,-2.041e-07
1.3935e-05,-2.041e-07
1.413e-05,-2.041e-07
1.4325e-05,-2.041e-07
1.4525e-05,-2.041e-07
1.473e-05,-2.041e-07
1.4935e-05,-2.041e-07
1.514e-05,-2.041e-07
1.5355e-05,-2.041e-07
1.5565e-05,-2.041e-07
1.5785e-05,-2.041e-07
1.6005e-05,-2.041e-07
1.6225e-05,-2.041e-07
1.645e-05,-2.041e-07
1.668e-05,-2.041e-07
1.6915e-05,-2.041e-07
1.715e-05,-2.041e-07
1.739e-05,-2.041e-07
1.763e-05,-2.041e-07
1.7875e-05,-2.041e-07
1.8125e-05,-2.041e-07
1.8375e-05,-2.041e-07
1.863e-05,-2.041e-07
1.889e-05,-2.041e-07
1.9155e-05,-2.041e-07
1.942e-05,-2.041e-07
1.969e-05,-2.041e-07
1.9965e-05,-2.041e-07
2.025e-05,-2.041e-07
2.055e-05,-2.041e-07
2.08e-05,-2.041e-07
2.11e-05,-2.041e-07
2.14e-05,-2.041e-07
2.17e-05,-2.041e-07
2.2e-05,-2.041e-07
2.23e-05,-2.041e-07
2.26e-05,-2.041e-07
2.295e-05,-2.041e-07
2.325e-05,-2.041e-07
2.355e-05,-2.041e-07
2.39e-05,-2.041e-07
2.425e-05,-2.041e-07
2.455e-05,-2.041e-07
2.49e-05,-2.041e-07
2.525e-05,-2.041e-07
2.56e-05,-2.041e-07
2.595e-05,-2.041e-07
2.635e-05,-2.041e-07
2.67e-05,-2.041e-07
2.705e-05,-2.041e-07
2.745e-05,-2.041e-07
2.785e-05,-2.041e-07
2.82e-05,-2.041e-07
2.86e-05,-2.041e-07
2.9e-05,-2.041e-07
2.94e-05,-2.041e-07
2.98e-05,-2.041e-07
3.025e-05,-2.041e-07
3.065e-05,-2.041e-07
3.11e-05,-2.041e-07
3.15e-05,-2.041e-07
3.195e-05,-2.041e-07
3.24e-05,-2.041e-07
3.285e-05,-2.041e-07
3.33e-05,-2.041e-07
3.375e-05,-2.041e-07
3.425e-05,-2.041e-07
3.47e-05,-2.041e-07
3.52e-05,-2.041e-07
3.57e-05,-2.041e-07
3.62e-05,-2.041e-07
3.67e-05,-2.041e-07
3.72e-05,-2.041e-07
3.77e-05,-2.041e-07
3.825e-05,-2.041e-07
3.88e-05,-2.041e-07
3.93e-05,-2.041e-07
3.985e-05,-2.041e-07
4.04e-05,-2.041e-07
4.1e-05,-2.041e-07
4.155e-05,-2.041e-07
4.215e-05,-2.041e-07
4.27e-05,-2.041e-07
4.33e-05,-2.041e-07
4.39e-05,-2.041e-07
4.455e-05,-2.041e-07
4.515e-05,-2.041e-07
4.58e-05,-2.041e-07
4.64e-05,-2.041e-07
4.705e-05,-2.041e-07
4.77e-05,-2.041e-07
4.84e-05,-2.041e-07
4.905e-05,-2.041e-07
4.975e-05,-2.041e-07
5.045e-05,-2.041e-07
5.115e-05,-2.041e-07
5.185e-05,-2.041e-07
5.255e-05,-2.041e-07
5.33e-05,-2.041e-07
5.405e-05,-2.041e-07
5.48e-05,-2.041e-07
5.555e-05,-2.041e-07
5.635e-05,-2.041e-07
5.71e-05,-2.041e-07
5.79e-05,-2.041e-07
5.87e-05,-2.041e-07
5.955e-05,-2.041e-07
6.035e-05,-2.041e-07
6.12e-05,-2.041e-07
6.205e-05,-2.041e-07
6.29e-05,-2.041e-07
6.38e-05,-2.041e-07
6.47e-05,-2.041e-07
6.56e-05,-2.041e-07
6.65e-05,-2.041e-07
6.745e-05,-2.041e-07
6.835e-05,-2.041e-07
6.93e-05,-2.041e-07
7.03e-05,-2.041e-07
7.125e-05,-2.041e-07
7.225e-05,-2.041e-07
7.325e-05,-2.041e-07
7.43e-05,-2.041e-07
7.53e-05,-2.041e-07
7.635e-05,-2.041e-07
7.745e-05,-2.041e-07
7.85e-05,-2.041e-07
7.96e-05,-2.041e-07
8.07e-05,-2.041e-07
8.185e-05,-2.041e-07
8.295e-05,-2.041e-07
8.41e-05,-2.041e-07
8.53e-05,-2.041e-07
8.65e-05,-2.041e-07
